CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE
CHEMBL2035053	1344573	CHEMBL2035053	1344573		14e, 95:5 trans/Cis mixture	487.59	4.92	81.63	0	Cc1cnc2Nc3ccc(OCCN4CCCC4)c(COC\C=C\CCOc5cc(ccn5)c1n2)c3	10910588	IC50	=	1000	nM	6				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	821290	CHEMBL2040120	B	Inhibition of recombinant JAK3 using poly(Glu,Ala,Tyr) as substrate after 2 hrs by luminometric assay	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			62087	CHEMBL2034857	22339472	J. Med. Chem.	2012	55	6	2623
CHEMBL2208027	1447677	CHEMBL2208027	1447677		9b	407.44	3.25	79.38	0	CC(=O)Nc1ccc(cc1)c2nc(Nc3ccc(cc3)N4CCOCC4)ncc2F	12193930	IC50	>	980	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	886511	CHEMBL2214786	B	Inhibition of JAK3	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			67020	CHEMBL2203210	23127890	Bioorg. Med. Chem. Lett.	2012	22	24	7653
CHEMBL2181083	1441905	CHEMBL2181083	1441905		21h, 85:15 trans/cis mixture	472.58	4.55	68.74	0	C(CN1CCCC1)Oc2cc3COCC=CCOCc4cccc(c4)c5ccnc(Nc(c3)c2)n5	12153171	IC50	=	830	nM	6.08				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	872623	CHEMBL2183782	B	Inhibition of recombinant JAK3 using Poly (Glu,Ala,Tyr) as substrate after 2 hrs by luminescence assay	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			66746	CHEMBL2176955	21604762	J. Med. Chem.	2011	54	13	4638
CHEMBL2181323	1442147	CHEMBL2181323	1442147		17d, 85:15 trans/cis mixture	457.57	4.08	62.75	0	CN1CCN(CC1)c2ccc3Nc4nccc(n4)c5cccc(COCC=CCOCc2c3)c5	12153182	IC50					Not Determined			BAO_0000190			872623	CHEMBL2183782	B	Inhibition of recombinant JAK3 using Poly (Glu,Ala,Tyr) as substrate after 2 hrs by luminescence assay	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			66746	CHEMBL2176955	21604762	J. Med. Chem.	2011	54	13	4638
CHEMBL2181318	1442142	CHEMBL2181318	1442142		16d, 85:15 trans/cis mixture	375.42	4.13	65.5	0	COc1ccc2Nc3nccc(n3)c4cccc(OCC=CCOCc1c2)c4	12153187	IC50					Not Determined			BAO_0000190			872623	CHEMBL2183782	B	Inhibition of recombinant JAK3 using Poly (Glu,Ala,Tyr) as substrate after 2 hrs by luminescence assay	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			66746	CHEMBL2176955	21604762	J. Med. Chem.	2011	54	13	4638
CHEMBL221959	367860	CHEMBL221959	367860	TOFACITINIB	CP-690-550	312.37	1.51	88.91	0	C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CC#N	13882551	IC50	=	10.9	nM	7.96				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1286137	CHEMBL3106994	B	Inhibition of JAK3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76588	CHEMBL3102787	24398382	Bioorg. Med. Chem.	2014	22	3	1156
CHEMBL1938653	1273489	CHEMBL1938653	1273489		18	350.44	3.14	120.04	0	CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)C(C)(C)C#N	8009760	IC50	=	118	nM	6.93				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	799679	CHEMBL1941385	B	Inhibition of human recombinant N-terminal GST-tagged JAK3 expressed in Sf9 cells using Biotin-LC-EQEDEPEGDYFEWLE as substrate after 90 mins by TR-FRET assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	60779	CHEMBL1938231	22087750	J. Med. Chem.	2011	54	24	8440
CHEMBL1938653	1273489	CHEMBL1938653	1273489		18	350.44	3.14	120.04	0	CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)C(C)(C)C#N	8009875	IC50	>	25000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	799686	CHEMBL1941392	B	Inhibition of TEL-fused JAK3 expressed in Ba/F3 cells assessed as inhibition of STAT5 phosphorylation after 60 mins by AlphaScreen assay	1	Scientific Literature				Autocuration	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			60779	CHEMBL1938231	22087750	J. Med. Chem.	2011	54	24	8440
CHEMBL2181322	1442146	CHEMBL2181322	1442146		17c, 85:15 trans/cis mixture	443.54	3.55	71.54	0	C1CN(CCN1)c2ccc3Nc4nccc(n4)c5cccc(COCC=CCOCc2c3)c5	12153183	IC50	=	1600	nM	5.8				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	872623	CHEMBL2183782	B	Inhibition of recombinant JAK3 using Poly (Glu,Ala,Tyr) as substrate after 2 hrs by luminescence assay	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			66746	CHEMBL2176955	21604762	J. Med. Chem.	2011	54	13	4638
CHEMBL221378	367986	CHEMBL221378	367986		34	400.41	4.28	81.66	0	C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4cocc4)c5ccc(F)cc5	1807587	IC50	=	83	nM	7.08				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	424265	CHEMBL908417	B	Inhibition of JAK3	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	34884	CHEMBL1139695	16934457	Bioorg. Med. Chem. Lett.	2006	16	21	5633
CHEMBL576486	579281	CHEMBL576486	579281		14	297.32	.45	94.46	0	Nc1nn2cccnc2c1c3cc(ncn3)N4CCOCC4	2981460	IC50	=	1600	nM	5.8				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	597288	CHEMBL1044319	B	Inhibition of JAK3 by radiometric assay	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49045	CHEMBL1156132	19857967	Bioorg. Med. Chem. Lett.	2009	19	23	6529
CHEMBL576476	579276	CHEMBL576476	579276		41	343.39	2.55	94.02	0	Nc1nn2cccnc2c1c3cc(N[C@H]4CCc5ccccc45)ncn3	2981487	IC50	=	240	nM	6.62				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	597288	CHEMBL1044319	B	Inhibition of JAK3 by radiometric assay	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49045	CHEMBL1156132	19857967	Bioorg. Med. Chem. Lett.	2009	19	23	6529
CHEMBL576862	579386	CHEMBL576862	579386		38	331.37	2.37	94.02	0	C[C@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccccc4	2981513	IC50	>	20000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	597290	CHEMBL1044321	B	Inhibition of JAK2-mediated STAT5 phosphorylation in GMCSF-stimulated human HT2 cells	1	Scientific Literature				Intermediate	BAO_0000019	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49045	CHEMBL1156132	19857967	Bioorg. Med. Chem. Lett.	2009	19	23	6529
CHEMBL570229	579282	CHEMBL570229	579282		42	343.39	2.55	94.02	0	Nc1nn2cccnc2c1c3cc(N[C@@H]4CCc5ccccc45)ncn3	2981516	IC50	>	20000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	597290	CHEMBL1044321	B	Inhibition of JAK2-mediated STAT5 phosphorylation in GMCSF-stimulated human HT2 cells	1	Scientific Literature				Intermediate	BAO_0000019	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49045	CHEMBL1156132	19857967	Bioorg. Med. Chem. Lett.	2009	19	23	6529
CHEMBL2312652	1511701	CHEMBL2312652	1511701		19	481.38	2.32	111.64	0	CN1CCC(CC1)NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2N[C@@H]4COC[C@H]4O	12631668	IC50	=	30000	nM	4.52				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	933952	CHEMBL2317770	B	Inhibition of JAK3 (unknown origin) in presence of ATP	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	71957	CHEMBL2311250	23312943	Bioorg. Med. Chem. Lett.	2013	23	4	1051
CHEMBL3114770	1617742	CHEMBL3114770	1617742		7e	413.43	2.19	101.04	0	O=C1NC(=O)C(=C1Nc2ccccc2OCCn3ccnc3)c4c[nH]c5ccccc45	13901963	IC50	=	9367	nM	5.03				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1288559	CHEMBL3118992	B	Inhibition of JAK3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76911	CHEMBL3112442	24461299	Bioorg. Med. Chem. Lett.	2014	24	4	1116
CHEMBL2325902	1520085	CHEMBL2325902	1520085		3b	258.32	1.95	70.67	0	CC[C@H](C)NC(=O)c1c[nH]c2ncc(nc12)C3CC3	12649751	IC50	=	9.6	nM	8.02				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	939264	CHEMBL2327061	B	Inhibition of JAK3 (unknown origin)-mediated phosphorylation of Biotin-KAIETDKEYYTVKD incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]ATP	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	72061	CHEMBL2321829	23214979	J. Med. Chem.	2013	56	1	345
CHEMBL231948	396954	CHEMBL231948	396954		16	470.53	3.1	111.78	0	COCCNC(=O)c1cc2c(N[C@@H](C)c3ccccc3)nc(nc2n1C)n4cnc5ccncc45	1964029	IC50	=	77	nM	7.11				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	446752	CHEMBL897051	B	Inhibition of JAK3 by kinase-Glo luminescent assay	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			36728	CHEMBL1148837	17189692	Bioorg. Med. Chem. Lett.	2007	17	5	1250
CHEMBL569091	579273	CHEMBL569091	579273		25	422.53	2.53	105.53	0	CCCN(CCC)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34	2981471	IC50	=	220	nM	6.66				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	597288	CHEMBL1044319	B	Inhibition of JAK3 by radiometric assay	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49045	CHEMBL1156132	19857967	Bioorg. Med. Chem. Lett.	2009	19	23	6529
CHEMBL583030	579336	CHEMBL583030	579336		33	318.34	.84	106.91	0	Nc1nn2cccnc2c1c3cc(NCc4cccnc4)ncn3	2981479	IC50	=	49	nM	7.31				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	597288	CHEMBL1044319	B	Inhibition of JAK3 by radiometric assay	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49045	CHEMBL1156132	19857967	Bioorg. Med. Chem. Lett.	2009	19	23	6529
CHEMBL1088856	621814	CHEMBL1088856	621814		16	499.56	4.3	83.01	0	COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(C(=O)N5CCOCC5)c(C)c4)c3n2	3247753	IC50	=	1500	nM	5.82				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	625436	CHEMBL1116985	B	Inhibition of recombinant GST tagged JAK3 protein after 60 mins using FITC-GGEEEEYFELVKKKK-NH2 substrate	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			50722	CHEMBL1156975	20231096	Bioorg. Med. Chem. Lett.	2010	20	8	2609
CHEMBL1270230	709470	CHEMBL1270230	709470		18	279.3	1.97	110.68	0	NC(=O)c1cc([nH]c1c2ccccc2)c3ccnc(N)n3	3526981	IC50	>	10000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	673925	CHEMBL1275102	B	Inhibition of JAK3	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			53468	CHEMBL1268909	20873740	J. Med. Chem.	2010	53	20	7296
CHEMBL396194	394831	CHEMBL396194	394831		12	363.41	4.52	38.96	0	C=C1Cn2c3ccccc3c4c5CNC(=O)c5c6c7ccccc7n(C1)c6c24	1956295	IC50	=	72	nM	7.14				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	440843	CHEMBL889938	B	Inhibition of JAK3 expressed in Sf21 cells	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	36214	CHEMBL1146279	17088059	Bioorg. Med. Chem. Lett.	2007	17	2	326
CHEMBL1088423	612572	CHEMBL1088423	612572		5c	404.35	2.26	85.17	0	FC(F)(F)c1ccc2ncn(c3ncc4NC(=O)N(C5CCOCC5)c4n3)c2c1	3214165	IC50	=	68	nM	7.17				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	618677	CHEMBL1102455	B	Inhibition of human JAK3 (508-1124) by time resolved fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	50214	CHEMBL1154364	19836234	Bioorg. Med. Chem. Lett.	2009	19	23	6788
CHEMBL1080323	612673	CHEMBL1080323	612673		5f	361.36	1.2	108.96	0	O=C1Nc2cnc(nc2N1C3CCOCC3)n4cnc5ccc(cc45)C#N	3214168	IC50	=	7	nM	8.15				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	618677	CHEMBL1102455	B	Inhibition of human JAK3 (508-1124) by time resolved fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	50214	CHEMBL1154364	19836234	Bioorg. Med. Chem. Lett.	2009	19	23	6788
CHEMBL1081190	611576	CHEMBL1081190	611576		21c	402.38	3.16	85.17	0	Fc1ccc2OCCC(N3C(=O)Nc4cnc(nc34)n5cnc6ccccc56)c2c1	3214176	IC50	=	28	nM	7.55				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	618677	CHEMBL1102455	B	Inhibition of human JAK3 (508-1124) by time resolved fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	50214	CHEMBL1154364	19836234	Bioorg. Med. Chem. Lett.	2009	19	23	6788
CHEMBL1630787	1052974	CHEMBL1630787	1052974		16e	401.55	4.5	74.35	0	CCN(CC)C(=O)OC[C@H](C)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23	5109182	IC50	=	150	nM	6.82				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	695928	CHEMBL1641115	B	Inhibition of GST-tagged human JAK3 catalytic domain expressed in Sf9 cells by ELISA	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	54253	CHEMBL1629452	21105711	J. Med. Chem.	2010	53	24	8468
CHEMBL1630770	1052957	CHEMBL1630770	1052957		2f	230.31	3.1	44.81	0	CN(C1CCCCC1)c2ncnc3[nH]ccc23	5109184	IC50	=	160	nM	6.8				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	695928	CHEMBL1641115	B	Inhibition of GST-tagged human JAK3 catalytic domain expressed in Sf9 cells by ELISA	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	54253	CHEMBL1629452	21105711	J. Med. Chem.	2010	53	24	8468
CHEMBL2325897	1520080	CHEMBL2325897	1520080		3s	378.43	.95	114.76	0	O=C(N[C@H](C1CC1)C(=O)N2CC[C@H](C2)C#N)c3c[nH]c4ncc(nc34)C5CC5	12649734	IC50	<	.3	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	939264	CHEMBL2327061	B	Inhibition of JAK3 (unknown origin)-mediated phosphorylation of Biotin-KAIETDKEYYTVKD incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]ATP	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			72061	CHEMBL2321829	23214979	J. Med. Chem.	2013	56	1	345
CHEMBL2325908	1520091	CHEMBL2325908	1520091		3j	301.34	.45	90.97	0	C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)C3CC3)C(=O)N(C)C	12649743	IC50	=	104.4	nM	6.98				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	939264	CHEMBL2327061	B	Inhibition of JAK3 (unknown origin)-mediated phosphorylation of Biotin-KAIETDKEYYTVKD incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]ATP	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	72061	CHEMBL2321829	23214979	J. Med. Chem.	2013	56	1	345
CHEMBL2325900	1520083	CHEMBL2325900	1520083		3d	270.33	1.9	70.67	0	CC(NC(=O)c1c[nH]c2ncc(nc12)C3CC3)C4CC4	12649749	IC50	=	8.6	nM	8.07				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	939264	CHEMBL2327061	B	Inhibition of JAK3 (unknown origin)-mediated phosphorylation of Biotin-KAIETDKEYYTVKD incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]ATP	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	72061	CHEMBL2321829	23214979	J. Med. Chem.	2013	56	1	345
CHEMBL3116059	1619044	CHEMBL3116059	1619044		13b, enantiomeric mixture	394.41	2.81	102.67	0	COc1ccc2nc(NC(C)c3ncc(F)cn3)nc(Nc4cn(C)cn4)c2c1	13919108	IC50	>	30000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1291449	CHEMBL3118239	B	Inhibition of Jak3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76802	CHEMBL3112447	24359159	J. Med. Chem.	2014	57	1	144
CHEMBL3116056	1619041	CHEMBL3116056	1619041		23b	384.43	3.26	121.68	0	C[C@H](Nc1nc(Nc2cn(C)cn2)c3scc(C)c3n1)c4ncc(F)cn4	13918741	IC50	=	3930	nM	5.41				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1291449	CHEMBL3118239	B	Inhibition of Jak3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76802	CHEMBL3112447	24359159	J. Med. Chem.	2014	57	1	144
CHEMBL3116053	1619038	CHEMBL3116053	1619038		19d, enantiomeric mixture	354.35	1.33	122.12	0	CC(Nc1nc(Nc2cn(C)cn2)c3cn[nH]c3n1)c4ncc(F)cn4	13918753	IC50	=	4620	nM	5.34				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1291449	CHEMBL3118239	B	Inhibition of Jak3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76802	CHEMBL3112447	24359159	J. Med. Chem.	2014	57	1	144
CHEMBL3114780	1617752	CHEMBL3114780	1617752		9d	474.46	4.32	95.25	0	Fc1cc(F)cc(NCCOc2cccc(NC3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c2)c1	13901953	IC50	=	1387	nM	5.86				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1288559	CHEMBL3118992	B	Inhibition of JAK3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76911	CHEMBL3112442	24461299	Bioorg. Med. Chem. Lett.	2014	24	4	1116
CHEMBL461139	452549	CHEMBL461139	452549		16	413.47	2.8	82.61	0	O=C1NC=Nc2[nH]c(cc12)c3ccnc(\C=C\c4ccc(CN5CCOCC5)cc4)c3	2584881	IC50	=	310	nM	6.51				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	558083	CHEMBL955791	B	Inhibition of JAK3	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			44886	CHEMBL1152141	18945615	Bioorg. Med. Chem. Lett.	2008	18	23	6142
CHEMBL377300	343041	CHEMBL377300	343041	BRIVANIB	12	370.38	3.48	84.67	0	C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C	1699827	IC50	>	50000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	342128	CHEMBL860745	B	Inhibitory activity against JAK3	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			30918	CHEMBL1146078	16570908	J. Med. Chem.	2006	49	7	2143
CHEMBL568815	579384	CHEMBL568815	579384		36	336.32	2.38	91.22	0	Nc1nn2cccnc2c1c3cc(OCc4ccc(F)cc4)ncn3	2981482	IC50	=	180	nM	6.74				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	597288	CHEMBL1044319	B	Inhibition of JAK3 by radiometric assay	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49045	CHEMBL1156132	19857967	Bioorg. Med. Chem. Lett.	2009	19	23	6529
CHEMBL231733	396952	CHEMBL231733	396952		15	520.59	3.03	120.37	1	C[C@H](Nc1nc(nc2c1cc(C(=O)NCCCn3ccnc3)n2C)n4cnc5ccncc45)c6ccccc6	1964030	IC50	=	67	nM	7.17				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	446752	CHEMBL897051	B	Inhibition of JAK3 by kinase-Glo luminescent assay	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			36728	CHEMBL1148837	17189692	Bioorg. Med. Chem. Lett.	2007	17	5	1250
CHEMBL495727	494066	CHEMBL495727	494066		16, AT9283	381.43	1.51	110.96	0	O=C(NC1CC1)Nc2c[nH]nc2c3nc4ccc(CN5CCOCC5)cc4[nH]3	2251199	IC50	=	1.1	nM	8.96				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	560626	CHEMBL1009896	B	Inhibition of JAK3	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			45101	CHEMBL1139387	19143567	J. Med. Chem.	2009	52	2	379
